,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Dzmitry Saidakou', 'Alesia Zaitsava', 'Sergey Don', 'Yevgeniya Paksyutova']","['[BLR] ', '[BLR] ', '[UKR] ', '[UKR] ']","['21-18', '15-21', '21-11']",XD - Qualification,20170112,"Tallinn, Estonia"
1,"['Mykola Martynenko', 'Darya Samarchants', 'Martin Cerkovnik', 'Ana Marija Setina']","['[UKR] ', '[UKR] ', '[SLO] ', '[SLO] ']","['18-21', '21-15', '22-20']",XD - Qualification,20170112,"Tallinn, Estonia"
2,"['Marcus Lõo', 'Kati-Kreet Marran', 'Edgaras Slusnys [2]', 'Vytaute Fomkinaite']","['[EST] ', '[EST] ', '[LTU] ', '[LTU] ']","['21-19', '21-11']",XD - Qualification,20170112,"Tallinn, Estonia"
3,"['Jesper Von Hertzen', 'Karoliine Hoim', 'Jere Övermark [4]', 'Inalotta Suutarinen']","['[FIN] ', '[EST] ', '[FIN] ', '[FIN] ']","['21-11', '21-13']",XD - Qualification,20170112,"Tallinn, Estonia"
4,"['David Hong', 'Hope Warner', 'Stuart Hardy', 'Chloe Le Tissier']","['[ENG] ', '[ENG] ', '[ENG] ', '[ENG] ']","['21-7', '21-18']",XD - Qualification,20170112,"Tallinn, Estonia"
5,"['Guntis Lavrinovics', 'Jekaterina Romanova', 'Andres Aru', 'Ulla Helm']","['[LAT] ', '[LAT] ', '[EST] ', '[EST] ']","['26-24', '19-21', '21-15']",XD - Qualification,20170112,"Tallinn, Estonia"
6,"['Vahur Lukin', 'Mari Ann Karjus', 'Oskari Larkimo', 'Noora Ahola']","['[EST] ', '[EST] ', '[FIN] ', '[FIN] ']","['21-18', '13-21', '21-13']",XD - Qualification,20170112,"Tallinn, Estonia"
7,"['Birger Abts', 'Daniel Ojaaar [7]']","['[BEL] ', '[SWE] ']","['21-13', '15-21', '21-19']",MS - Qualification,20170112,"Tallinn, Estonia"
8,"['Mikk Ounmaa', 'Sigrid Laura Moora', 'Raimo Pregel', 'Kulle Laidmae']","['[EST] ', '[EST] ', '[EST] ', '[EST] ']","['14-21', '21-17', '21-15']",XD - Qualification,20170112,"Tallinn, Estonia"
9,"['Alexander Roovers [15]', 'Vladyslav Volnyanskiy']","['[GER] ', '[UKR] ']","['21-8', '21-8']",MS - Qualification,20170112,"Tallinn, Estonia"
10,"['Rok Jercinovic', 'Felix Nandin']","['[SLO] ', '[SWE] ']","['17-21', '21-17', '21-11']",MS - Qualification,20170112,"Tallinn, Estonia"
11,"['Hermansyah .', 'Mika Kongas']","['[INA] ', '[FIN] ']","['21-15', '21-11']",MS - Qualification,20170112,"Tallinn, Estonia"
12,"['Douglas Lidman', 'Collins Valentine Filimon']","['[SWE] ', '[ROU] ']","['21-11', '21-14']",MS - Qualification,20170112,"Tallinn, Estonia"
13,"['Jacob Nilsson [4]', 'Arnaud Merkle']","['[SWE] ', '[FRA] ']","['21-12', '21-12']",MS - Qualification,20170112,"Tallinn, Estonia"
14,"['Arto Lahtinen', 'Rui Mendes']","['[FIN] ', '[POR] ']","['21-16', '24-22']",MS - Qualification,20170112,"Tallinn, Estonia"
15,"['Karolis Eimutaitis', 'Mikk Ounmaa']","['[LTU] ', '[EST] ']","['21-16', '14-21', '21-18']",MS - Qualification,20170112,"Tallinn, Estonia"
16,"['Mattias Wigardt', 'Hugo Batista']","['[SWE] ', '[POR] ']","['21-17', '21-10']",MS - Qualification,20170112,"Tallinn, Estonia"
